@relation 'spoken_letters_617_attributes-weka.filters.unsupervised.attribute.Remove-V-R1,11,14,17,22,30,41,45,48,52,68,70,101,106,107,118,132,138,144,148,165,169,171,172,173,174,181,182,184,189,199,201,204,212,213,225,228,231,234,235,238,254,257,259,261,297,298,321,322,323,326,330,337,345,351,354,358,359,363,386,390,392,395,397,411,414,415,416,418,420,422,427,429,430,431,433,436,438,439,451,453,455,458,460,461,462,473,474,480,481,488,489,494,515,516,520,525,541,547,548,553,554,557,573,574,575,578,579,580,581,582,583,584,618'

@attribute f1 numeric
@attribute f11 numeric
@attribute f14 numeric
@attribute f17 numeric
@attribute f22 numeric
@attribute f30 numeric
@attribute f41 numeric
@attribute f45 numeric
@attribute f48 numeric
@attribute f52 numeric
@attribute f68 numeric
@attribute f70 numeric
@attribute f101 numeric
@attribute f106 numeric
@attribute f107 numeric
@attribute f118 numeric
@attribute f132 numeric
@attribute f138 numeric
@attribute f144 numeric
@attribute f148 numeric
@attribute f165 numeric
@attribute f169 numeric
@attribute f171 numeric
@attribute f172 numeric
@attribute f173 numeric
@attribute f174 numeric
@attribute f181 numeric
@attribute f182 numeric
@attribute f184 numeric
@attribute f189 numeric
@attribute f199 numeric
@attribute f201 numeric
@attribute f204 numeric
@attribute f212 numeric
@attribute f213 numeric
@attribute f225 numeric
@attribute f228 numeric
@attribute f231 numeric
@attribute f234 numeric
@attribute f235 numeric
@attribute f238 numeric
@attribute f254 numeric
@attribute f257 numeric
@attribute f259 numeric
@attribute f261 numeric
@attribute f297 numeric
@attribute f298 numeric
@attribute f321 numeric
@attribute f322 numeric
@attribute f323 numeric
@attribute f326 numeric
@attribute f330 numeric
@attribute f337 numeric
@attribute f345 numeric
@attribute f351 numeric
@attribute f354 numeric
@attribute f358 numeric
@attribute f359 numeric
@attribute f363 numeric
@attribute f386 numeric
@attribute f390 numeric
@attribute f392 numeric
@attribute f395 numeric
@attribute f397 numeric
@attribute f411 numeric
@attribute f414 numeric
@attribute f415 numeric
@attribute f416 numeric
@attribute f418 numeric
@attribute f420 numeric
@attribute f422 numeric
@attribute f427 numeric
@attribute f429 numeric
@attribute f430 numeric
@attribute f431 numeric
@attribute f433 numeric
@attribute f436 numeric
@attribute f438 numeric
@attribute f439 numeric
@attribute f451 numeric
@attribute f453 numeric
@attribute f455 numeric
@attribute f458 numeric
@attribute f460 numeric
@attribute f461 numeric
@attribute f462 numeric
@attribute f473 numeric
@attribute f474 numeric
@attribute f480 numeric
@attribute f481 numeric
@attribute f488 numeric
@attribute f489 numeric
@attribute f494 numeric
@attribute f515 numeric
@attribute f516 numeric
@attribute f520 numeric
@attribute f525 numeric
@attribute f541 numeric
@attribute f547 numeric
@attribute f548 numeric
@attribute f553 numeric
@attribute f554 numeric
@attribute f557 numeric
@attribute f573 numeric
@attribute f574 numeric
@attribute f575 numeric
@attribute f578 numeric
@attribute f579 numeric
@attribute f580 numeric
@attribute f581 numeric
@attribute f582 numeric
@attribute f583 numeric
@attribute f584 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}

@data
-0.3154,-0.6266,-0.3652,-0.5892,0.3984,0.9254,-0.397,-0.533,-0.7198,-0.1932,0.483,-0.1972,0.0486,-0.699,-0.6408,-0.0194,0.7594,-0.722,-0.6042,-0.2674,0.497,-0.521,-0.5928,-0.533,-0.6048,-0.6468,-0.4432,-0.1676,0.6408,0.8324,-0.5338,-0.473,-0.4054,-0.0472,-0.1082,-0.2982,0.3334,-0.4386,-0.3684,-0.6492,-0.2632,0.8246,0.1232,0.5068,0.315,-0.5466,-0.5466,-1,-1,-1,-1,-0.9534,0.4144,-0.9534,-1,-1,-1,-1,-0.9618,-1,-1,-1,-0.79,-0.52,-0.9,-1,-1,-1,-1,-1,-1,-0.7142,1,1,1,-0.8286,-0.7714,-0.7714,-0.5714,-1,0.1446,0.1084,0.0602,0.0362,0.0298,-0.0636,-0.64,-0.2706,1,-0.3684,-0.228,0.0526,0.965,-0.0232,-0.2248,0.0078,0.938,-0.1938,0.2,0.136,0.072,0.2,1,-0.376,-0.232,-0.312,-1,-1,1,-1,-1,-1,-0.8334,5
-0.2344,0.2344,0.4844,0.6954,0.336,0.1876,0.9126,0.4604,0.9126,0.4048,0.3334,0.8274,0.463,0.6108,0.4026,0.4296,0.3268,0.6144,0.5816,0.3268,0.2408,0.6326,0.2898,0.2816,0.5346,0.5102,0.1428,0.5266,0.8448,0.1674,0.1192,-0.578,-0.266,-0.688,-0.3028,-0.2308,0.4358,1,0.7948,0.6924,0.7948,0.077,-0.45,0.1,0.35,0.8314,0.4458,-1,-1,-1,-1,-0.9366,0.8256,-0.9322,-0.9366,-1,-1,-1,-0.9684,-0.8878,-1,-1,-0.8734,-0.7568,0.4,0.5332,0.5666,0.3966,0.23,-1,-1,-1,1,1,1,-0.0572,-1,0.4572,1,-0.8858,1,1,1,1,1,1,-0.6134,-0.5764,0.6084,0.5454,0.6818,0.591,0.591,0.7548,1,0.8868,0.717,-0.5284,0.255,1,0.6862,0.2746,0.647,-0.255,-0.353,-0.4706,-1,-1,1,-1,-1,-1,-0.8334,6
-0.4286,0.4822,0.6518,0.9018,0.625,-0.009,0.9222,0.5194,0.9434,0.4488,0.514,0.7112,0.5512,0.6172,0.4126,0.3466,0.3244,0.378,0.6522,0.2576,0.6228,0.3158,0,-0.0088,0.4474,0.4912,-0.0964,-0.0964,0.4386,-0.1578,0.1862,-0.0896,-0.2138,0.1448,-0.1448,-0.4762,0.381,1,0.5714,0.5238,0.5714,0,-0.4666,0.2444,0.6,0.253,0.2048,-1,-1,-1,-1,-0.9346,0.761,-0.9028,-0.9478,-1,-1,-1,-0.8536,-0.8342,-1,-1,-0.71,-0.5968,-0.8034,-0.6968,-0.7868,-0.5068,0.1332,-1,-1,-0.6286,1,1,1,-0.5428,-0.6286,0.6,1,-0.1142,1,1,1,1,1,1,-0.7066,-0.6352,0.5834,-0.1914,0.9148,1,0.9574,0.2816,0.903,0.8834,0.8058,-0.165,0.774,0.8608,0.7914,0.7218,0.6696,-0.1478,-0.1478,-0.3914,-1,-1,1,-1,-1,-1,-0.8334,6
-0.207,-0.6982,-0.5298,-0.0808,0.3684,0.8246,-0.7162,-0.6124,-0.3288,0.2802,0.9508,-0.4578,-0.1624,-0.675,-0.6606,0.379,0.978,-0.7216,-0.37,-0.304,-0.0438,-0.9204,-0.8566,-0.9442,-0.769,-0.6574,-0.1156,0.267,0.6972,0.8406,-0.6074,-0.4672,-0.6916,-0.542,-0.2524,-0.0434,0.5218,-0.4782,-0.1304,-0.3914,-0.3914,0.6956,0.375,0.875,0.4688,-0.3648,-0.5058,-1,-1,-1,-0.8498,-0.7952,0.6434,-0.9436,-1,-1,-0.8448,-0.8472,1,-1,-0.9324,-0.9334,0.49,0.12,-0.6934,-0.7134,-0.8334,-1,-1,-1,-1,1,0.0286,1,1,-0.7428,-0.9428,-0.9714,-0.8,-1,-0.2576,-0.16,-0.0858,-0.1486,-0.241,-0.2982,-0.5334,-0.4588,1,-0.1882,0.0172,0.1638,0.4964,-0.3554,-0.2422,-0.1524,0.3946,0.5898,-0.1058,-0.1498,0.1894,0.4186,0.5418,0.5726,0.4008,0.141,-1,-1,1,0.4,0.6,-1,-0.1334,7
-0.3064,-0.6456,-0.5088,-0.2608,0.6254,0.7368,-0.6388,-0.7844,-0.4664,0.4394,0.9348,-0.163,-0.1044,-0.6318,-0.4676,0.6468,0.9736,-0.8632,-0.5842,-0.4158,0.1094,-0.849,-0.849,-0.8386,-0.776,-0.7032,-0.0938,0.1718,0.8854,0.7292,-0.3836,-0.4804,-0.6978,-0.4138,-0.3474,-0.0384,0.6538,-0.0384,-0.3846,-0.577,-0.3846,0.7308,-0.2244,0.6326,0.0612,-0.919,-0.8648,-1,-1,-1,-0.9794,-0.9376,0.6426,-0.9748,-1,-1,-0.9724,-0.9678,-0.0008,-1,-1,-0.9,0.75,-0.09,-0.5208,-0.8542,-0.7976,-1,-1,-1,-1,1,0.6858,1,1,-0.6,-0.8,-0.2572,-0.4572,-1,0.1072,0.0758,0.0368,0.0204,0.0576,-0.0946,-0.5466,-0.3294,1,-0.6456,0.1444,0.1646,0.676,-0.61,-0.4758,-0.216,0.455,0.522,0.0528,-0.1938,0.0572,0.4758,0.6124,0.282,0.26,0.1806,-1,-1,1,-0.6,-1,-1,-0.1334,7
-0.1626,-0.4778,-0.2512,-0.0344,0.527,0.7932,-0.3156,-0.4488,-0.3512,0.0222,1,0.1378,0.1734,-0.4756,-0.6622,0.3244,0.9822,-0.4488,-0.6088,-0.0934,0.0748,-0.5594,-0.7004,-0.577,-0.6476,-0.392,0.0484,0.1278,0.7622,0.6124,-0.174,-0.6522,-0.413,-0.0218,0.2608,-0.1364,1,0.2272,-0.3636,-0.4546,-0.2272,0.909,-0.2,0.85,0.6,-0.5062,-0.4568,-1,-1,-1,-1,-0.8482,0.9634,-0.9674,-0.8788,-1,-1,-1,-0.56,-0.3942,-1,-1,-0.9,-0.5168,-0.8668,0.4832,0.5132,0.5732,0.5966,-1,-1,-0.2858,1,1,0.4858,-0.9142,-1,-0.8572,0.2858,-0.7428,0.5126,0.4754,0.457,0.3952,0.3432,0.2068,-0.5734,-0.6352,1,-0.1162,0.1046,0.2674,0.9186,0.297,-0.0666,0.2122,0.9516,0.2122,0.9338,0.5364,0.245,0.3642,1,0.1258,-0.2052,-0.1788,-1,-1,1,-0.6,-1,-1,-0.7,8
-0.3312,-0.1338,-0.1402,0.1592,0.898,0.7324,-0.0362,-0.1884,-0.0362,0.3768,0.6732,0.0428,0.2754,-0.3986,-0.2972,0.529,0.6786,-0.637,-0.2322,0.0536,0.191,-0.2298,-0.5792,-0.4498,-0.3268,-0.3852,0.1456,0.5404,1,0.8252,-0.3624,-0.4492,-0.4686,-0.1304,0.3236,-0.3454,0.5272,0.091,-0.6,-0.2,-0.2728,0.6,-0.4782,0.3914,0.087,-0.1666,-0.375,-1,-1,-1,-1,-0.9714,0.945,-0.9714,-0.978,-1,-1,-1,-0.9752,-0.5844,-1,-1,-0.8534,-0.61,-0.9134,-0.8468,-0.2634,0.59,0.42,-1,-1,-1,1,1,1,-0.4286,-0.8858,-0.1142,0.3142,-0.9142,0.651,0.628,0.5506,0.5878,0.5954,0.5104,-0.6,-0.5882,1,-0.0526,0.3684,0.5438,0.8246,0.4634,0.2032,0.1544,0.9838,0.1382,0.5396,0.2222,0.3174,0.5874,0.8572,-0.0158,-0.0318,-0.5396,-1,-1,1,-1,-1,-1,-0.8334,8
-0.4786,0.718,0.8234,0.359,0.3162,0.1966,0.8574,0.8938,0.6268,-0.0622,0.1746,0.5184,0.2096,0.5958,0.5,0.3502,0.3454,0.3716,0.6268,0.437,1,-0.0436,-0.3096,-0.365,-0.2142,-0.0634,0.488,0.381,0.488,0.504,-0.1626,-0.3924,-0.5358,0.933,1,-0.5556,-0.0222,0.7778,0.6444,0.6,0.6444,-0.4222,-0.2904,0.258,0.4194,0.2424,0.2424,-1,-1,-1,-1,-0.9598,0.5382,-0.9216,-1,-1,-1,-1,-0.9824,-1,-1,-1,-0.8668,-0.5634,-0.7068,-1,-1,-1,-1,-1,-1,-1,1,1,1,-0.7428,-0.8286,-0.7142,-0.4572,-1,1,1,1,1,1,1,-0.5334,0.0942,1,-0.32,0.96,0.88,1,0.2622,0.754,0.9016,0.9344,-0.1148,0.4814,0.9074,0.4814,0.3148,0.6852,-0.426,-0.6852,-0.2408,-1,-1,1,-1,-1,-0.8,-0.8334,9
-0.4178,0.6456,0.834,0.3306,0.3192,0.1984,0.9812,0.6764,0.3716,0.246,0.086,0.487,0.241,0.3406,0.4494,0.3872,0.3322,0.0358,0.3604,0.4634,1,-0.0298,-0.2676,-0.2826,-0.0744,-0.0112,0.6134,0.4684,0.3792,0.368,-0.1238,-0.3866,-0.5568,0.8092,1,-0.28,0.44,1,0.88,0.88,0.88,0.24,-0.4694,0.0612,0.102,0.3334,0.1494,-1,-1,-1,-1,-0.9616,0.511,-0.9422,-1,-1,-1,-1,-0.9806,-1,-1,-1,-0.8668,-0.6134,-0.56,-0.7134,-0.72,-0.7734,-1,-1,-1,-0.5714,1,1,1,-0.8286,-0.8,-0.6858,-0.7714,-1,1,1,1,1,1,1,-0.5734,0.0706,1,0.1914,0.9574,0.8298,0.617,0.5874,0.9206,0.8096,0.6032,-0.238,0.2698,0.9206,0.4762,0.3968,0.5396,-0.3492,-0.3174,-0.6032,-1,-1,1,-1,-1,-1,-0.8334,9
-0.2008,-0.1968,0.1054,0.6222,0.6024,0.8012,0.4576,0.373,0.973,1,0.3518,0.8828,0.5872,0.0772,0.2114,0.5738,0.5742,0.0844,0.506,0.8714,1,-0.098,-0.4612,-0.4082,-0.2858,-0.1714,0.9878,0.8204,0.4612,0.5388,0.1798,-0.1404,-0.7416,0.4044,0.736,-0.0968,0.871,0.0322,-0.4838,-0.2904,-0.2258,0.613,-0.2858,0.6666,0.5714,0.4382,0.236,-1,-1,-1,-0.971,-0.8304,0.2478,-0.9262,-1,-1,-1,-0.9708,0.579,-1,-1,-0.9284,0.1012,0.5812,-0.82,-1,-1,-1,-1,-1,-1,1,1,1,1,0.0286,-0.8,-0.5428,-0.3714,-1,0.4592,0.5256,0.7264,0.9616,1,0.9634,-0.6,-0.0236,1,-0.898,0.1844,0.2236,0.5686,-0.3468,-0.1806,-0.129,0.4326,0.427,-0.4644,-0.4576,0.0984,0.2204,0.505,0.4508,0.3762,0.0508,-1,-1,1,-1,-1,-1,-0.4334,10
-0.0996,-0.433,0.1558,0.684,0.342,0.4718,0.184,0.1916,0.7472,0.5096,0.4194,0.7598,0.6388,0.2232,0.2266,0.6558,0.5436,0.234,0.6016,0.7988,0.9816,0.0276,-0.1454,-0.057,-0.0056,0.0828,0.7974,0.7274,0.569,0.7128,0.3656,-0.3704,-0.2736,1,0.7918,-0.15,0.65,0.1,-0.2,-0.85,0.15,0.55,0.194,0.7014,0.9402,0.2842,0.221,-1,-1,-1,-0.9838,-0.8802,0.2674,-0.958,-0.9734,-1,-1,-0.977,-0.1812,-1,-1,-0.9234,0.8,0.2032,-0.53,-0.3834,-0.68,-0.8668,-1,-1,-1,1,1,1,1,-0.3714,-0.8572,-0.6572,-0.6,-1,0.5202,0.5866,0.74,0.942,1,1,-0.6666,-0.153,1,-0.6594,0.309,0.567,1,-0.3616,-0.2768,-0.1384,0.5758,0.5982,-0.1258,-0.2336,0.3474,0.1198,0.7544,0.3174,0.1556,0.1796,-1,-1,1,-0.8,-1,-1,-0.2,10
