@relation 'spoken_letters_5attributes_5letters_training'

@attribute f427 numeric
@attribute f460 numeric
@attribute f474 numeric
@attribute f515 numeric
@attribute f584 numeric
@attribute class {1,2,3,4,5}

@data
0.2286,-0.2802,0.0352,0.7308,-0.8334,5
-1,-0.067,-0.0236,0.8212,-1,5
0.5142,1,0.4352,0.6544,-0.6334,1
-1,1,0.8236,0.5,-0.7666,1
-1,0.0716,0.3648,-0.35,-0.8334,2
-0.9714,-0.0948,0.6706,0.0102,-0.8334,2
-0.6858,0.3734,0.0352,-0.6458,1,3
-0.8858,-0.0664,0.3294,-0.6572,1,3
-0.3714,-0.0052,0.5412,-0.5598,-0.7,4
-0.9428,-0.2374,0.447,-0.3642,-0.7,4
-0.8858,-0.0652,0.4352,-0.2128,-0.8,5
-0.1714,-0.0992,0.4118,0.4,-1,5
-1,1,-0.2352,0.9842,-0.8,1
-0.4858,1,0.0706,0.5918,-0.8334,1
-1,0.6002,-0.1764,0.4736,-1,2
-1,0.5786,-0.0236,0.0138,-1,2
-0.6572,0.7824,-0.2118,-0.399,0.8,3
-0.8,0.8722,-0.0352,-0.4528,0.9334,3
-1,0.6152,-0.1648,0.3036,-0.8334,4
-0.4,0.6666,0.1648,-0.3076,-0.7334,4
-1,0.8018,-0.0588,0.5372,-0.8334,5
-1,0.8078,0.2236,0.2166,-0.8334,5
-1,0.9876,0.4706,0.7528,-0.8,1
-0.8858,1,0.7176,0.6572,-0.8334,1
-1,-0.4016,0.3058,0.1566,-0.8334,2
-0.9142,-0.4622,0.5648,-0.3334,-0.8334,2
-0.9428,-0.3854,0.047,-0.6302,1,3
-0.9428,-0.4588,0.4824,-0.8814,1,3
-0.2,-0.3128,0.2706,-0.6448,-0.7,4
-0.8,-0.5506,0.7412,-0.568,-0.6666,4
1,-0.5904,0.3764,-0.0588,-0.3666,5
-0.9142,-0.6472,0.8706,-0.2708,-0.7666,5
-0.7142,1,0.047,0.4846,-0.5666,1
1,1,0.0236,0.7112,-0.3666,1
-1,0.4456,0.2352,0.0292,-1,2
-1,0.5056,0.1412,0.3802,-0.8334,2
-1,0.5322,-0.1176,-0.6754,1,3
-0.9142,0.6314,0.1176,-0.6414,1,3
0.0286,0.2662,-0.0942,-0.4184,-0.7,4
-0.7428,0.296,0.1412,-0.4916,-0.6666,4
-1,0.3192,0.3176,0.3966,-1,5
-1,0.232,0.2588,0.1846,-0.8334,5
-1,1,0.1058,0.4258,-0.8334,1
-1,1,0.0352,0.4258,-0.8334,1
-1,-0.1978,-0.1176,0.1352,-0.8334,2
-1,0.0094,0.0236,0.1836,-0.8334,2
-0.7428,0.1628,-0.2118,-0.6538,1,3
-0.3142,0.2152,-0.2118,-0.6136,1,3
-0.8,0.0686,0.1648,-0.5634,-0.7,4
-0.1714,0.0648,-0.2,-0.2424,-0.7334,4
-1,0.0404,0.1412,0.5764,-1,5
-1,0.1052,0.1648,0.0104,-0.8334,5
-0.3428,1,-0.3412,0.4118,-0.7334,1
-1,1,-0.3648,0.3786,-0.8334,1
-1,0.4118,-0.2236,-0.5068,-0.8334,2
-1,0.3164,-0.353,0.4962,-1,2
-0.6,0.3686,-0.4588,-0.464,1,3
-0.8572,0.3678,-0.2942,-0.6546,1,3
-0.4,0.3616,-0.353,-0.3588,-0.7334,4
-0.8572,0.2972,-0.2942,-0.5506,-0.6334,4
-0.6286,0.312,-0.0942,0.2948,-1,5
-1,0.1242,-0.247,0.1112,-1,5
-0.9428,1,0.2,0.626,-0.5666,1
-1,1,0.2,-0.1024,-1,1
-1,0.2058,-0.2236,0.2888,-0.8334,2
-1,0.1922,-0.0236,0.3514,-0.8334,2
-0.8,0.285,-0.1058,-0.6324,1,3
-0.6,0.4948,-0.0588,-0.5922,1,3
-0.4572,0.1934,-0.0118,-0.5754,-0.7,4
0.1428,0.4094,0.1294,-0.1884,-0.7334,4
-0.0572,0.0542,0.1294,0.3734,-1,5
-0.9142,0.2242,0.1648,0.327,-1,5
-1,1,0.153,0.6936,-0.8334,1
-1,1,0.3648,0.756,-0.8334,1
-0.7428,0.3526,0.247,0.3168,-1,2
-1,0.3972,0.1764,0.4634,-0.8334,2
-0.7714,0.3858,0.0942,-0.6292,1,3
-0.8286,0.5024,0.3058,-0.6844,1,3
0.5142,0.3038,0.0352,0.6266,-0.5,4
-1,0.5952,0.4236,-0.5478,-0.8,4
-1,0.435,0.1764,0.0698,-0.8334,5
-0.3714,0.5354,0.3412,0.1666,-0.7,5
-0.9142,1,0.2,0.342,-0.6,1
-0.8286,1,0.4,0.3158,-0.6666,1
-1,0.393,0.2236,0.595,-0.8334,2
-1,0.48,0.2824,0.2632,-1,2
-0.9714,0.6026,0,-0.6264,1,3
-0.9142,0.5474,0.1294,-0.7484,1,3
-0.7142,0.395,0.2706,-0.4736,-0.7,4
-0.5428,0.271,0.447,-0.0896,-0.7334,4
-0.5142,0.5974,0.3176,-0.3334,-0.7334,5
-0.7428,0.3542,0.4352,-0.2572,-0.7334,5
-1,0.78,0.2352,0.3422,-1,1
1,0.7934,0.2236,0.975,-1,1
-1,0.2022,0.0352,0.4434,-1,2
-1,0.1062,0.1764,0.2812,-1,2
-0.2286,0.3346,-0.0706,-0.6604,1,3
-0.9714,0.3612,-0.0824,-0.8002,1,3
-1,0.1294,0.0118,-0.3806,-0.8,4
-0.7142,0.1454,0.1648,0.1844,-0.7666,4
-0.5714,0.3408,0.2118,0.981,-1,5
-0.8858,0.138,0.2824,0.253,-1,5
-0.1142,0.9116,0.2824,0.2948,-1,1
-0.8286,0.7966,0.2352,0.6666,-0.7666,1
-1,-0.0548,0.0236,0.3762,-0.8334,2
-0.7428,0.1924,0.1294,0.077,-0.8334,2
-0.8286,0.1264,-0.1648,-0.664,0.9334,3
-0.8,0.086,0.0824,-0.5062,1,3
-0.8286,-0.1054,0.1294,-0.3924,-0.6334,4
-0.1714,0.2226,0.0824,-0.7368,-0.5666,4
-0.8858,-0.2666,0.1176,1,-1,5
-0.9428,0.1822,0.0236,0.3122,-1,5
-0.2286,1,-0.2706,0.6694,-0.8,1
0.9428,1,-0.0588,-0.1126,0,1
-1,0.4992,0.2706,0.5524,-1,2
-1,0.586,-0.2,0.2198,-1,2
-0.9428,0.5686,-0.153,-0.5352,1,3
-0.9428,0.5944,-0.2942,-0.534,1,3
-0.9142,0.2776,-0.1412,0.0892,-0.8,4
-0.9428,0.4644,-0.0942,0.1632,-0.8,4
1,-0.002,-0.2118,0.2448,-0.5666,5
-0.3714,0.1954,-0.1294,0.3534,-0.8334,5
-0.3714,0.7646,0.1882,-0.1804,-0.7,1
-0.4286,0.9516,0.2942,0.769,-0.3334,1
-1,0.2062,0.1294,0.2578,-0.8334,2
-1,0.1042,0.1648,0.5582,-0.8334,2
-0.8572,0.1622,0.0588,-0.7862,0.9666,3
-0.7714,0.3228,0.1648,-0.7494,1,3
-0.7142,-0.2104,0.1294,0.0096,-0.8,4
-1,0.0888,0.4,-0.402,-0.7666,4
-1,-0.0392,0.3176,0.3334,-0.8334,5
-1,0.1414,0.6706,0.6406,-1,5
-0.8572,1,0.1058,0.491,-0.6666,1
-1,1,0.2352,0.7828,-0.5666,1
-1,0.365,0.0588,0.6982,-0.8334,2
-1,0.232,0.2706,0.767,-0.8334,2
-0.8572,0.5344,0.0118,-0.2626,1,3
-0.9714,0.2362,0.1294,-0.4298,1,3
-0.0858,0.3774,0,-0.0098,-0.7666,4
0.0286,0.1568,0.2352,-0.427,-0.7,4
-1,0.4344,-0.1058,0.6504,-0.8334,5
-1,0.1126,0.3764,0.1134,-0.8334,5
-0.7428,0.3526,0.1764,0.44,-0.7,1
-0.9428,0.3176,0.2236,-0.013,-0.6,1
-1,-0.7794,0.2588,0.3334,-0.8334,2
-0.9428,-0.8632,0.0824,-0.3334,-0.8,2
-0.8858,-0.6368,0.0588,-0.5232,1,3
-0.8858,-0.5614,0.047,-0.4396,1,3
-0.6858,-0.8326,0.2824,-0.5918,-0.7334,4
-0.6,-0.7834,-0.0352,-0.5284,-0.7334,4
-0.9428,-0.7752,0.2352,0.1948,-0.8334,5
-1,-0.7718,0.247,-0.2842,-0.8,5
-1,1,0.0706,0.3478,-0.8334,1
-1,1,0.153,0.3378,-0.8334,1
-1,0.3424,0.2588,0.2166,-0.8334,2
-1,0.3656,0.1412,0.6,-1,2
-0.9142,0.5436,0.0588,-0.6566,1,3
-0.8572,0.485,-0.0118,-0.6154,1,3
-0.9142,0.4302,0.2236,-0.6056,-0.6,4
-0.5142,0.4026,0.447,-0.5404,-0.7334,4
-1,0.2926,0.3058,0.0422,-0.8334,5
-1,0.0692,0.1648,-0.1364,-0.8334,5
-0.8,1,0.2588,0.803,-1,1
-1,1,0.2352,0.5,-1,1
-1,-0.0646,0.0942,0.4,-0.8334,2
1,-0.0002,0.3882,0.2886,-0.3,2
-0.8286,0.4148,-0.1176,-0.7114,1,3
-0.6572,0.4406,0.0236,-0.632,1,3
-0.5714,-0.0296,0.1882,-0.7682,-0.7,4
-0.9714,0.0036,0.0706,-0.6996,-0.6334,4
-1,-0.1544,0.1882,-0.0624,-0.8334,5
-1,-0.2602,0.3058,0.4426,-1,5
-0.7142,1,-0.0588,0.4754,-0.8334,1
-1,1,-0.0706,0.3818,-0.8334,1
-1,0.0482,-0.0942,-0.1182,-0.8334,2
-1,-0.069,-0.0236,0.156,-0.8334,2
-0.8,0.624,-0.1648,-0.493,1,3
-0.6,0.3744,-0.1176,-0.601,1,3
-0.2572,0.2922,-0.1764,-0.4404,-0.5,4
1,0.2508,-0.0236,-0.4706,-0.4666,4
-1,0.3468,-0.0824,0.3766,-0.8,5
-0.6,0.692,0.0352,0.3462,-0.8334,5
